OBJECTID *,Shape *,Join_Count,TARGET_FID,JOIN_FID,NAME,ACRE,PARK_MGNT_REGION,MANAGER,OWNER,JEFFCO_OS_LAND_STATUS,MAP_LABEL,Public_Access,ADDRESS,Shape__Area,Shape__Length,TRAIL_NAME,PARK_NAME,MILEAGE,TRAIL_DIFFICULTY_RATING,MILEAGE_ROUNDED,USER_TYPE,iff_reclass,Shape_Length,Shape_Area
169,Polygon ZM,1,53,10,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373,Cone Flower Trail,Alderfer Three Sisters Park,0.223226,Least Difficult,0.2,Multi-Use,Least Difficult,1178.632738,49123334.18
170,Polygon ZM,1,53,11,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373,<Null>,Alderfer Three Sisters Park,0.076662,Least Difficult,0.1,Multi-Use,Least Difficult,404.773961,49123334.18
171,Polygon ZM,1,53,38,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373,Bearberry Trail,Alderfer Three Sisters Park,1.202917,Least Difficult,1.2,Multi-Use,Least Difficult,6351.400408,49123334.18
172,Polygon ZM,1,53,46,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373,Evergreen Mtn West,Alderfer Three Sisters Park,1.106279,Least Difficult and More Difficult,1.1,Multi-Use,More Difficult,5841.151631,49123334.18
173,Polygon ZM,1,53,53,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373,Homestead Trail,Alderfer Three Sisters Park,0.28683,More Difficult,0.3,Multi-Use,More Difficult,1514.461695,49123334.18
174,Polygon ZM,1,53,55,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373,Evergreen Mtn East,Alderfer Three Sisters Park,1.49861,More Difficult,1.5,Multi-Use,More Difficult,7912.663397,49123334.18
175,Polygon ZM,1,53,62,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373,Brothers Trail,Alderfer Three Sisters Park,0.181361,More Difficult,0.2,Multi-Use,More Difficult,957.585843,49123334.18
176,Polygon ZM,1,53,93,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373,Ranch View Trail,Alderfer Three Sisters Park,0.441354,More Difficult,0.4,Multi-Use,More Difficult,2330.347576,49123334.18
177,Polygon ZM,1,53,109,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373, ,Alderfer Three Sisters Park,0.026572,Least Difficult,0.03,Multi-Use,Least Difficult,140.300495,49123334.18
178,Polygon ZM,1,53,117,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373,Summit Trail,Alderfer Three Sisters Park,0.650744,More Difficult,0.7,Multi-Use,More Difficult,3435.926931,49123334.18
179,Polygon ZM,1,53,127,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373, ,Alderfer Three Sisters Park,0.02617,More Difficult,0.03,Multi-Use,More Difficult,138.175079,49123334.18
180,Polygon ZM,1,53,136,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373, ,Alderfer Three Sisters Park,0.377507,More Difficult,0.4,Multi-Use,More Difficult,1993.237157,49123334.18
181,Polygon ZM,1,53,158,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373,Wild Iris Loop,Alderfer Three Sisters Park,0.599405,Least Difficult,0.6,Multi-Use,Least Difficult,3164.856412,49123334.18
182,Polygon ZM,1,53,184,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373,Wilmot Trail,Alderfer Three Sisters Park,0.38723,More Difficult,0.4,Multi-Use,More Difficult,2044.576361,49123334.18
183,Polygon ZM,1,53,192,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373,Scenic View Trail,Alderfer Three Sisters Park,0.108534,Least Difficult,0.1,Multi-Use,Least Difficult,573.060504,49123334.18
184,Polygon ZM,1,53,199,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373,Mountain Muhly Trail,Alderfer Three Sisters Park,1.478022,More Difficult,1.5,Multi-Use,More Difficult,7803.957882,49123334.18
185,Polygon ZM,1,53,213,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373,Silver Fox Trail,Alderfer Three Sisters Park,0.188486,Least Difficult,0.2,Multi-Use,Least Difficult,995.204312,49123334.18
186,Polygon ZM,1,53,217,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373,Sisters Trail,Alderfer Three Sisters Park,0.604797,Most Difficult,0.6,Multi-Use,Most Difficult,3193.329036,49123334.18
187,Polygon ZM,1,53,229,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373,Ponderosa Trail,Alderfer Three Sisters Park,0.261485,More Difficult,0.3,Multi-Use,More Difficult,1380.640197,49123334.18
188,Polygon ZM,1,53,237,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373,Ponderosa Trail,Alderfer Three Sisters Park,0.540435,More Difficult,0.5,Multi-Use,More Difficult,2853.494823,49123334.18
189,Polygon ZM,1,53,238,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373,Ponderosa Trail,Alderfer Three Sisters Park,0.65713,More Difficult,0.7,Multi-Use,More Difficult,3469.647177,49123334.18
190,Polygon ZM,1,53,251,Alderfer/Three Sisters Park,1127.72109,Mountains,Jeffco Open Space,Jeffco Open Space,Jeffco Open Space Owned,JCOS Park,Public Access,<Null>,49123334.18,44933.2373,Mountain Muhly Trail,Alderfer Three Sisters Park,0.283534,More Difficult,0.3,Multi-Use,More Difficult,1497.058044,49123334.18
